SensorName	Paper Name	Relevance	Authors	University / Lab	Publication Year	Publication Venue	Link	Cited	Bibtex	Technology	Sensor Type Introduced	Comercial?	Geometry	No. Sensors	Rubber (if applicable)	Chip	Additional Notes	22
Digit 360	Digitizing Touch with an Artificial Multimodal Fingertip	4	Mike Lambeta1, Tingfan Wu1, Ali Sengül1, Victoria Rose Most1, Nolan Black1, Kevin Sawyer1, Romeo Mercado1, Haozhi Qi1,4, Alexander Sohn1, Byron Taylor1, Norb Tydingco1, Gregg Kammerer1, Dave Stroud1, Jake Khatha1, Kurt Jenkins1, Kyle Most1, Neal Stein1, Ricardo Chavira1, Thomas Craven-Bartle1, Eric Sanchez1, Yitian Ding1, Jitendra Malik1, Roberto Calandra1,2,3		2024		https://arxiv.org/abs/2411.02479	TRUE	@article{lambeta2024digitizing,   title={Digitizing touch with an artificial multimodal fingertip},   author={Lambeta, Mike and Wu, Tingfan and Sengul, Ali and Most, Victoria Rose and Black, Nolan and Sawyer, Kevin and Mercado, Romeo and Qi, Haozhi and Sohn, Alexander and Taylor, Byron and others},   journal={arXiv preprint arXiv:2411.02479},   year={2024} }	Visual	Visual	TRUE					camera operates at 240Hz(!) (pg 8)	
(ICL Sensor)	Location and Orientation Super-Resolution Sensing With a Cost-Efficient and Repairable Barometric Tactile Sensor		Jian Hou; Xin Zhou; Adam Spiers		2024		https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10770605	FALSE	@article{hou2024location,   title={Location and Orientation Super-Resolution Sensing With a Cost-Efficient and Repairable Barometric Tactile Sensor},   author={Hou, Jian and Zhou, Xin and Spiers, Adam J},   journal={IEEE Transactions on Robotics},   year={2024},   publisher={IEEE} }	Barometric	Barometric	FALSE						1
	Enhanced Force Estimation and Autonomous Force Tuning through Fusion of Tactile Sensor and Quasi-Direct Drive Gripper		Thomas De Clercq; Frederik Ostyn; Guillaume Crevecoeur	Guillaume Crevecoeur	2024		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10771630	FALSE	@article{de2024enhanced,   title={Enhanced Force Estimation and Autonomous Force Tuning through Fusion of Tactile Sensor and Quasi-Direct Drive Gripper},   author={De Clercq, Thomas and Ostyn, Frederik and Crevecoeur, Guillaume},   journal={IEEE Sensors Journal},   year={2024},   publisher={IEEE} }	Barometric	No New Sensor	FALSE	Flat				Quasi Direct Drive with Tactile Sensor	
	Soft Barometric Tactile Sensor Utilizing Iterative Pressure Reconstruction	8	Thomas de Clercq; Anatolii Sianov; Frederik Ostyn; Guillaume Crevecoeur	Guillaume Crevecoeur	2024	IEEE Access	https://ieeexplore.ieee.org/abstract/document/10621005	FALSE	@article{de2024soft,   title={Soft barometric tactile sensor utilizing iterative pressure reconstruction},   author={De Clercq, Thomas and Sianov, Anatolii and Ostyn, Frederik and Crevecoeur, Guillaume},   journal={IEEE Access},   year={2024},   publisher={IEEE} }	Barometric	Barometric	FALSE	4x8 grid	4*8		MS5840	Referenced by previous paper	1
	Integrated Barometric Pressure Sensors on Legged Robots for Enhanced Tactile Exploration of Edges	3	Thijs Van Hauwermeiren; Anatolii Sianov; Annelies Coene; Guillaume Crevecoeur	Guillaume Crevecoeur	2024	RAL	https://ieeexplore.ieee.org/abstract/document/10538409	FALSE	@article{van2024integrated,   title={Integrated Barometric Pressure Sensors on Legged Robots for Enhanced Tactile Exploration of Edges},   author={Van Hauwermeiren, Thijs and Sianov, Anatolii and Coene, Annelies and Crevecoeur, Guillaume},   journal={IEEE Robotics and Automation Letters},   year={2024},   publisher={IEEE} }	Barometric	Barometric	FALSE	Spherical					1
	Fully 3D printable Robot Hand and Soft Tactile Sensor based on Air-pressure and Capacitive Proximity Sensing	4	Sean Taylor; Kyungseo Park; Sankalp Yamsani; Joohyung Kim	Joohyung Kim KIMLAB (Kinetic Intelligent Machine LAB) at the University of Illinois Urbana-Champaign, Urbana, IL, USA	2024	ICRA	https://ieeexplore.ieee.org/document/10610731	FALSE	@inproceedings{taylor2024fully,   title={Fully 3D printable Robot Hand and Soft Tactile Sensor based on Air-pressure and Capacitive Proximity Sensing},   author={Taylor, Sean and Park, Kyungseo and Yamsani, Sankalp and Kim, Joohyung},   booktitle={2024 IEEE International Conference on Robotics and Automation (ICRA)},   pages={18100--18105},   year={2024},   organization={IEEE} }	Capacitive	Capacitive	FALSE					3D printed tactile sensing system	
---	Design, Characterization, and Modeling of Barometric Tactile Sensors for Underwater Applications		Aiden Shaevitz1, Matthew L. Johnston1, Joseph R. Davidson		2023	RoboSoft	https://ieeexplore.ieee.org/document/10121983	FALSE	@inproceedings{shaevitz2023design,   title={Design, characterization, and modeling of barometric tactile sensors for underwater applications},   author={Shaevitz, Aiden and Johnston, Matthew L and Davidson, Joseph R},   booktitle={2023 IEEE International Conference on Soft Robotics (RoboSoft)},   pages={1--6},   year={2023},   organization={IEEE} }	Barometric	Barometric	FALSE						1
	Design of a Multimodal Fingertip Sensor for Dynamic Manipulation		Andrew SaLoutos, Elijah Stanger-Jones, Menglong Guo, Hongmin Kim, Sangbae Kim		2023	ICRA	https://arxiv.org/abs/2209.11368	FALSE	@inproceedings{saloutos2023design,   title={Design of a multimodal fingertip sensor for dynamic manipulation},   author={SaLoutos, Andrew and Stanger-Jones, Elijah and Guo, Menglong and Kim, Hongmin and Kim, Sangbae},   booktitle={2023 IEEE International Conference on Robotics and Automation (ICRA)},   pages={8017--8024},   year={2023},   organization={IEEE} }	Barometric	Barometric	FALSE						1
	Barometric Soft Tactile Sensor for Depth Independent Contact Localization	2	Leone Costi; Fumiya Iida		2023	ROBIO	https://ieeexplore.ieee.org/document/10354941	FALSE	@inproceedings{costi2023barometric,   title={Barometric Soft Tactile Sensor for Depth Independent Contact Localization},   author={Costi, Leone and Iida, Fumiya},   booktitle={2023 IEEE International Conference on Robotics and Biomimetics (ROBIO)},   pages={1--6},   year={2023},   organization={IEEE} }	Barometric	Barometric	FALSE	Hollow tubes running lengthwise with barometers at the end					1
	Experimental Characterization on Slip Detectability of Barometer-Based Tactile Sensor	5	Gyuwon Kim; Donghyun Hwang	Donghyun Hwang	2023	IEEE Sensors Journal	https://ieeexplore.ieee.org/document/10201409	FALSE	@article{kim2023experimental, title={Experimental Characterization on Slip Detectability of Barometer-Based Tactile Sensor}, author={Kim, Gyuwon and Hwang, Donghyun}, journal={IEEE Sensors Journal}, year={2023}, publisher={IEEE} }	Barometric	Barometric	FALSE	Flat single sensor		Vytaflex 20	MPL115A2	Split detection with single barometer	1
